ntcse,uunn,amt,direccion,wgsy,wgsx
E420750,HUANUCO,A4271,CANCHAPAMPA - LLATA CA - CARRETERA CANCHAPAMPA - LLATA,-9.558470787,-76.8301641
E420756,HUANUCO,A4271,MUCHCAY - LLATA CA - CARRETERA MUCHCAY - LLATA,-9.597410904,-76.87485272
E420751,HUANUCO,A4271,CACHIGAGA - LLATA CA - CARRETERA CACHIGAGA - LLATA,-9.597665121,-76.84708387
E420755,HUANUCO,A4271,LIBERTAD - LLATA CA - CARRETERA LIBERTAD - LLATA,-9.590958787,-76.86202238
E420754,HUANUCO,A4271,LIBERTAD - LLATA CA - CARRETERA LIBERTAD - LLATA,-9.58353305,-76.86021951
E420753,HUANUCO,A4271,PORVENIR - LLATA CA - CARRETERA PORVENIR - LLATA,-9.576758473,-76.86896969
E420752,HUANUCO,A4271,PORVENIR - LLATA CA - CARRETERA PORVENIR - LLATA,-9.578244368,-76.865074
E420804,HUANUCO,A4257,HUACAR CA - CARRETERA HUACAR,-10.15804968,-76.24458038
E420799,HUANUCO,A4268,CAHUAC CA - CARRETERA CHAVIILLO=YAROWILCA,-9.862074462,-76.62685069
E420806,HUANUCO,A4271,MILPO - LLATA CA - CARRETERA LLATA,-9.572008508,-76.77459368
E420805,HUANUCO,A4271,CACHIGAGA-LLATA CA - CARRETERA CACHIGAGA-LLATA,-9.594604788,-76.8582152
E421029,HUANUCO,A4259,CPM  SANTO TORIBIO DE LA PUNTA CA - CARRETERA UMARI - PACHITEA,-9.866533737,-76.01617904
E421077,HUANUCO,A4266,RS - CONJUNTO RESIDENCIAL LAS BRISAS-CAYHUAYNA MA - MALECÓN MALECON WALTER GUSTAVO SOBERON,-9.956158369,-76.24352853
E421025,HUANUCO,A4256,GR - GRUPO CERRO JACTAY CANAL 7 OV - OVALO CERRO JACTAY,-9.927274808,-76.2639
E421027,HUANUCO,A4269,PUNCURIN CA - CARRETERA LA UNION,-9.788285742,-76.79440311
E420836,HUANUCO,A4257,BO - BARRIO NARANJILLO - CORAZON DE JESUS CA - CARRETERA CARRETERA CENTRAL  YANAG,-9.990968511,-76.24332053
E420837,HUANUCO,A4257,BO - BARRIO NARANJILLO - CORAZON DE JESUS CA - CARRETERA CARRETERA CENTRAL  YANAG,-9.994007198,-76.24230634
E420843,HUANUCO,A4260,ÑAHUINSEQUIA-STA. M. VALLE CA - CARRETERA CARRETERA A ÑAHUINSEQUIA-STA. M. VALLE,-9.87053,-76.167977
E420840,HUANUCO,A4257,Rosavero Alto - YANAG JR - JIRÓN VIA COLECTORA JR. SANTA ROSA - YANAG,-9.992417923,-76.24708711
E420828,HUANUCO,A4254,LOS ANGELES - AMARILIS CA - CARRETERA LOS ANGELES- LA ESPERANZA,-9.893439699,-76.21888329
E420839,HUANUCO,A4257,Lucmapata-CP Corazón de Jesús CA - CARRETERA YANAG - ROSAVERO PARTE ALTA,-9.994262687,-76.25194478
E420835,HUANUCO,A4257,SECTOR 2 COLPA ALTA CA - CARRETERA COLPA ALTA,-9.979876463,-76.24128192
E420829,HUANUCO,A4254,BO - BARRIO JANCAO JR - JIRÓN Jr. Francia - JANCAO,-9.901163727,-76.22664693
E420833,HUANUCO,A4257,HUANCAHUASI-AMBO CL - CALLE 11 DE NOVIEMBRE,-10.09637295,-76.21340997
E420831,HUANUCO,A4254,LA ESPERANZA PJ - PASAJE SAN ANTONIO-JANCAO,-9.894457584,-76.22662522
E420830,HUANUCO,A4254,JANCAO - LA ESPERANZA JR - JIRÓN CARRETERA CENTARL - JANCAO,-9.899079998,-76.22497114
