ntcse,uunn,amt,direccion,wgsy,wgsx
I420805,HUANUCO,A4268,SECC: I420805,-9.58690438,-76.44002754
I420806,HUANUCO,A4268,SECC: I420806,-9.585342205,-76.43101152
I420807,HUANUCO,A4268,SECC: I420807,-9.584597597,-76.43256757
I420808,HUANUCO,A4268,SECC: I420808,-9.608020936,-76.50138458
I420809,HUANUCO,A4268,SECC: I420809,-9.71354077,-76.66415861
I420810,HUANUCO,A4268,SECC: I420810,-9.732260489,-76.77472135
I420812,HUANUCO,A4270,SECC: I420812,-9.840216223,-76.80905853
I420813,HUANUCO,A4270,SECC: I420813,-9.850190134,-76.82807715
I420814,HUANUCO,A4271,SECC: I420814,-9.785722661,-76.81710514
I420815,HUANUCO,A4271,SECC: I420815,-9.563452728,-76.74410632
I420816,HUANUCO,A4271,SECC: I420816,-9.515886441,-76.84359293
I420817,HUANUCO,A4272,SECC: I420817,-10.01121854,-76.69847251
I420818,HUANUCO,A4272,SECC: I420818,-10.13651892,-76.72511143
I420819,HUANUCO,A4272,SECC: I420819,-9.903610353,-76.60542535
I420748,HUANUCO,A4254,SECC: I420748,-9.917766684,-76.2337167
I420747,HUANUCO,A4253,SECC: I420747,-9.917376357,-76.24408919
I420749,HUANUCO,A4254,SECC: I420749,-9.919985675,-76.23376907
I420757,HUANUCO,A4257,SECC:I420757,-9.994355728,-76.2420476
I420799,HUANUCO,A4266,SECC: I420799,-9.955590223,-76.2485653
I420476,HUANUCO,A4258,I420476,-9.875103423,-76.58280581
I420896,HUANUCO,A4254,SECC: I420896,-9.90883363,-76.2301965
I420861,HUANUCO,A4268,SECC: I420861,-9.703737595,-76.68133961
I420822,HUANUCO,A4258,DERIVA A SED E421124 CHAULAN,-10.05270495,-76.48459408
I420663,HUANUCO,A4254,Ca. LOS ANGELES    0  Int. 2CD  CPMe. LA ESPERANZA   ,-9.892123044,-76.22040501
I420634,HUANUCO,A4257,Illacucho-Gongash,-10.13958832,-76.27483868
I420680,HUANUCO,A4257,I420680,-9.997519164,-76.24130962
I420828,HUANUCO,A4254,AMARILIS - Condominio Lomas del Sol,-9.911592991,-76.22565789
